vclaim-pol-00000	"Schuyler VanValkenburg co-sponsored a bill that would have ""allowed abortion until the moment of birth."""	Vandergriff inaccurately describes bill that would have eased late-term abortion laws
vclaim-pol-00001	"""Over the last two years, the number of murders in America and America’s major cities has dropped, unlike here (Chicago), by more than 10%."""	Trump ‘dead wrong’ about the change in murders in Chicago
vclaim-pol-00002	Says there is a 4,250% increase in fetal death from the flu shot.	Instagram post falsely says flu shot causes fetal death
vclaim-pol-00003	"The Buffalo Billion is ""still breaking every job promise"""	Kolb takes aim at 'Buffalo Billion' job promises
vclaim-pol-00004	Say Sen. Lindsey Graham supports the Green New Deal.	No, Lindsey Graham does not support the Green New Deal
vclaim-pol-00005	"The impeachment inquiry hearings ""going on behind closed doors over which Congressman Schiff is presiding—they are consistent with the rules"" of the U.S. House of Representatives."	Fox News analyst correct: Impeachment inquiry is following rules by questioning witnesses in private
vclaim-pol-00006	"Says House Democrats leading the impeachment inquiry are ""denying President Trump basic fairness and due process accorded every American."""	Graham wrong that House impeachment inquiry denies Trump ‘due process’
vclaim-pol-00007	"Says Hillary Clinton ""paid for a Russian dossier to win an election,"" her husband ""made $500k for a Russian speech,"" ""sold 20% of US Uranium to Russia"" and her foundation ""received $150M from Russia."""	Exaggerated post connects Clintons, Russia, uranium deal
vclaim-pol-00008	"Says that Olive Garden is ""funding"" President Trump's 2020 re-election campaign."	No, Olive Garden is not funding President Trump’s re-election campaign
vclaim-pol-00009	"Quotes Trump as saying, ""Fine you boo me DC? Go #Astros, Texas loves me, I get the best kind of love there. I’ll be renaming the White House the Orange House."""	Trump did not threaten to rename White House for Astros after World Series boos
vclaim-pol-00010	"Says in his 2000 book ""I was talking about Osama bin Laden. I said, ‘You have to kill him. You have to take him out.’"""	Again, Trump boasted that he called to take out Osama bin Laden in 2000. He didn’t
vclaim-pol-00011	"Says ""red flag laws"" allow gun seizure without a judge’s involvement: ""They take it away first. Then you have to get permission from a judge to do it."""	Do red flag laws allow gun seizure without a judge’s OK?
vclaim-pol-00012	"Says that in Illinois, ""fewer than 20% of those actually deported have been charged with any serious crime."""	Durbin mostly on track with claim on Illinois deportations
vclaim-pol-00013	"Says that in 1770 ""British parliament banned lipstick, saying it had the power to seduce men into marriage, which was classified as witchcraft."""	No, British Parliament didn’t ban ‘witchcraft’ lipstick in 1770
vclaim-pol-00014	"Says Ann Landers said, ""At age 20, we worry about what others think of us. At age 40, we don’t care what they think. At age 60, we discover that they have not been thinking of us at all."""	This quote about age didn’t originate with Ann Landers
vclaim-pol-00015	"""General Motors is making record profits."""	General Motors profits have been record-setting, but not in recent years
vclaim-pol-00016	"""14,000 abandoned wind turbines litter the United States."""	No, there aren’t 14,000 abandoned wind turbines littered across the United States
vclaim-pol-00017	"Says Congress gave Wall Street ""trillions of dollars of zero interest loans."""	Bernie Sanders overstates recession aid to Wall Street banks
vclaim-pol-00018	"Says Chick-fil-A funds the National Christian Foundation, which ""paid a preacher to go to Uganda and help their lawmakers"" with a bill that would impose the death penalty for homosexuality."	What does Chick-fil-A have to do with Uganda’s anti-gay bill? Not much
vclaim-pol-00019	"Says Donald Trump said, ""Make no mistake: They’re not after me. They are after you; your guns, your Christian values, your freedom. I’m just in their way."""	No, Donald Trump didn’t say this about Christian values and freedom
vclaim-pol-00020	"""President Trump is asking everyone to forward this email… The TRUMP Rules: Congressional Reform Act of 2017."""	No, Trump isn’t asking you to forward an email about 'The Trump Rules'
vclaim-pol-00021	"Says his impeachment is a ""coup."""	Donald Trump says impeachment is a coup. That's Pants on Fire
vclaim-pol-00022	"""Barack Obama put a permanent stop on this military aid to the Ukraine - he never allowed it to go."""	Matt Gaetz misleads about Obama's record on Ukraine military aid
vclaim-pol-00023	"Says Brooke Baldwin said, ""Don’t hire veterans! They’re too damaged to be trusted with authority."""	Brooke Baldwin didn’t say this about veterans, but she did come under fire for other comments
vclaim-pol-00024	A photo shows a man grabbing a woman’s rear while watching the Apollo 8 launch in 1968.	No, this isn’t a real photo of a couple watching the Apollo 8 launch
vclaim-pol-00025	Says a photo shows a driver and passengers wearing moose heads in a truck with a man strapped to the roof that caused 16 accidents on I-35.	Drunk men wearing moose heads didn’t actually terrorize drivers on Interstate 35
vclaim-pol-00026	"Says a list of prominent Democrats have concealed their ""real names"" from the public."	Post on prominent Democrats concealing their ‘real names’ is wrong
vclaim-pol-00027	"Barnes & Noble and Target have the book ""If You Give a Pig the White House"" in their children’s sections."	Barnes & Noble isn’t selling “If You Give a Pig the White House” in its kids section
vclaim-pol-00028	"""The Trump family was disallowed from operating any charity in the State of New York because they stole from a kids cancer charity."""	Trump family ‘disallowed’ from operating charities in New York? No.
vclaim-pol-00029	"""I'm one of only two candidates in the field that 10% or more of Donald Trump voters say they would support in the general"" election."	Andrew Yang's claim of support among Trump voters rates Pants on Fire
vclaim-pol-00030	"Says popular food and drink items such as Kraft, Pepsi and Nestle use a flavor enhancement company that ""puts aborted baby fetus cells in their food and drinks."""	No, food companies are not selling products that contain ‘aborted fetus cells’
vclaim-pol-00031	"""The vast majority of Wisconsin students cannot even read, write, or do math at grade level."""	No, the “vast majority” of Wisconsin students are not below grade level
vclaim-pol-00032	"""Most of the requests for records possessed by the Attorney General’s Office are from private law firms and companies."""	Vermont's AG misses mark with claim that 'most' records requests come from private firms
vclaim-pol-00033	"""Trump is now suing CNN over ‘pro-impeachment bias’ and he demands a ‘substantial payment.’"""	Trump hasn’t sued CNN, but he’s threatened to
vclaim-pol-00034	"""President Trump has sent 14,000 American troops to the (Middle East) region since May. So he can't tell his political rallies that he's getting troops out of endless wars when he's sending 14 times the amount back into the region."""	McGurk right that Trump has sent 14,000 troops to Middle East since May
vclaim-pol-00035	"AARP backed ""federal funding for Planned Parenthood."""	Online ads claiming AARP backed federal funding for Planned Parenthood are wrong
vclaim-pol-00036	"""Hemp has 25,000-35,000 known usages. That means it is going to be something that will replace plastics, and styrofoam and concrete."""	25,000 uses for hemp, including a replacement for concrete and plastic? Not so fast
vclaim-pol-00037	"""Sheila Bynum-Coleman said, ‘We need to get the police out of the schools.’"""	Cox ad distorts Bynum-Coleman statement on police in schools
vclaim-pol-00038	"Says drinking a ""6-ounce glass of tonic water each night before bed"" will help alleviate restless legs syndrome."	No, drinking tonic water isn’t a proven method to alleviate restless legs syndrome
vclaim-pol-00039	"Says a photo shows ""Kurdish kids"" after Turkey’s invasion."	These photos are of Palestinian and Syrian children, not 'Kurdish kids' after Turkey’s invasion
vclaim-pol-00040	"""To be clear, I’m not talking about confiscating anybody’s guns."""	Presidential candidate Beto O'Rourke falsely claims he hasn't talked about confiscating guns
vclaim-pol-00041	"Says California has ""30% or a third of the country’s people living at or below the poverty level."""	No, 30% of the nation’s poor don’t reside in California
vclaim-pol-00042	"Says Donald Trump ""will not be profiting"" from the G-7 summit meeting to be held at Trump’s Doral resort."	Mulvaney wrong that Donald Trump won't profit from choosing Trump resort to host G-7
vclaim-pol-00043	"""When my father became commander in chief of this country, we got out of all international business."""	Eric Trump’s false claim that the Trump family ‘got out of all international business’
vclaim-pol-00044	"Says Donald Trump is breaking a campaign pledge to bring manufacturing jobs back to Wisconsin and Pennsylvania since the two states ""have lost the most manufacturing jobs in the past year."""	DNC off on Trump, Wisconsin manufacturing jobs
vclaim-pol-00045	"""75-100 folks (are) killed a month and over 200 wounded by senseless gun violence."""	How many Americans are killed and injured by guns every month?
vclaim-pol-00046	"""The City of Austin is dedicating more than $20,000 PER HOMELESS PERSON in Austin."""	How much does the city of Austin spend, per homeless person?
vclaim-pol-00047	"""Most people below $50,000 don’t pay any income tax. The top 1 percent in our country pay 40%."""	Rand Paul’s claim about taxes went over poorly on The View, but it was pretty accurate
vclaim-pol-00048	"""The Kurds are much safer right now."""	After attacks by Turkey, Trump falsely claims Kurds in Syria are much safer now
vclaim-pol-00049	"""People haven't had a raise -- 90 percent of Americans have not had a raise for 40 years."""	Tom Steyer claimed ‘90% of Americans have not had a raise for 40 years.’ Is he right?
vclaim-pol-00050	"Says that for two weeks after you get a flu shot you are an ""active, live walking virus."""	No, you’re not an ‘active, live walking virus’ for 2 weeks following a flu shot
vclaim-pol-00051	"Says about universal basic income, ""Thomas Paine was for it at our founding ... Martin Luther King, champion in the ‘60s, called it a guaranteed minimum income for all Americans… It passed the U.S. House of Representatives twice in 1971."""	Fact-checking Andrew Yang on history of universal basic income
vclaim-pol-00052	"Quotes President John F. Kennedy as saying ""If the United States ever experienced [a coup to overthrow the government] it will come from the CIA and not the Pentagon."""	No evidence JFK said any US coup would ‘come from the CIA not the Pentagon’
vclaim-pol-00053	"Says a photo shows ""25,000 outside all to hear the POTUS speak!"""	This is a photo of the Cleveland Cavaliers victory parade, not outside a Trump rally
vclaim-pol-00054	"""The 1% is paying less in taxes than everyone else."""	Ilhan Omar's claim about the tax burden of the 1% needs context
